nweightnatyrs	qr1	qr2	qr4	gender	qs2	qs3a	qs3b	qs4	qs5a	qs5b	qa1	qa2	qa3	qa4	qa5	qa6	qa6a	qa7	qa8	qb1	qb2	qb2a	qb2aa	qb2ab	qb3	qb3a	qb4	qb4a	qb5	othb5	qb5aa	othb5aa	qb5bb	othb5bb	qb5a	qc1	qc1a	qc1b	qc2	qc3	qc3a	qc4	qc4a	qc4b	qc4c	qc4d	qc7	qc8	qc9	qc10	qc10a	qc11	qc12	qc13	qc14	qc15_1	qc15_2	qc15_3	qc15_4	qc15_5	qc15_6	qc15_7	qc16	qc17	qc18	qc19_1	qc19_2	qc19_3	qc20	qd2	qd2a	qg1	qg1a	qg1b	qg2	qg3_a	qg3_b	qg3_c	qg3_d	qg3_e	qg5_a	qg5_b	qg5_c	qg5_d	qg6	qd1	othd1	qd1a	qd1b	qd1c	qd3	qd3a	qg4	qg4a	qg4b	qg4c	qf101	qf102	qf103	qf104	qf105	qf2	qf2a	qf3	qf3a	qf4	qf5_a	qf5_b	qf5_c	qf5_d	qf5_e	qf5a_a	qf5a_b	qf5a_c	qf5a_d	qf5a_e	qf6	qf7_a	qf7_b	qf7_c	qf7_d	qf8_a	qf8_b	qf8_c	qf9	qf10	qh1	qh3	qh4	qh4a	qh2	qh2a	qh5	qh5b	qh5c	qj1	qj2	qj3	qj3a	qj3b1	qj3b2	qj3c1	qj3c2	qj4	qj5	qj6	qj7	qj8	qj9	qj10	qj10a	qj11	qj12	qj13	qj13a	qj14	qj14a	qj15	qj16	qj16a	qj17	qj17a	qj18	respunique	state	countyname	date	ethnicity	citizenrecode	newdest6	newdest2	newasiandest
1572.59402517826	1	97	1	2	7	3	97	97	97	97	7	2	2	1	97	97	97	97	97	3	1	2	2	97	1	2	1	2	2	Skip / NA	1	Skip / NA	11	Skip / NA	2	1	1	97	1	2	97	97	3	97	97	97	2	97	97	2	97	97	97	1	1	1	1	2	2	2	2	2	1	2	2	2	2	1	97	1	2	2	97	2	4	4	4	4	4	4	2	4	4	2	97	2	Skip / NA	97	2	97	1	1	3	97	97	1	3	97	97	97	97	1	2	1	2	1	97	97	97	97	97	2	2	2	2	1	1	1	1	2	2	2	1	2	97	97	12	97	97	97	5	2	2	97	97	3	1	5	2	97	97	97	97	2	0	4	2	15	2	1987	97	20	1	3	97	9997	997	97	97	97	3	97	1	603990825	NY	Bronx County, New York	0825	1	1	5	2	2
446.420054691414	1	97	1	1	2	7	97	97	97	97	7	2	2	2	3	1980	97	36	3	3	1	2	1	2	1	2	1	2	2	Skip / NA	3	Skip / NA	0	Skip / NA	2	1	3	97	98	6	98	97	3	97	97	97	1	99	2	1	1	97	97	97	1	1	2	1	2	2	2	2	1	1	2	2	2	1	1	1	98	3	97	97	5	5	5	5	5	1	5	1	1	2	97	3	Skip / NA	97	97	99	97	97	1	1	97	97	3	6	97	97	97	1	2	1	2	2	2	98	2	2	1	97	97	97	97	97	2	1	1	1	98	1	1	98	97	97	12	97	97	97	1	1	2	97	97	6	1	1	97	7	97	97	97	4	1	7	1	60	2	1956	97	10	1	3	97	1990	997	97	97	97	1	97	3	604000825	NC	Wake County, North Carolina	0825	1	1	3	1	3
4750.93817530462	1	97	1	1	7	3	97	97	97	97	7	2	2	2	26	1993	97	16	3	1	2	97	2	97	2	97	2	97	2	Skip / NA	6	Skip / NA	7	Skip / NA	2	2	97	2	97	97	97	98	97	97	3	97	2	97	97	97	97	97	97	97	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	98	2	97	2	5	5	4	3	2	2	4	3	2	2	98	5	Skip / NA	97	97	97	97	97	4	97	97	98	5	97	97	97	97	2	97	2	97	2	2	2	2	2	2	97	97	97	97	97	2	98	1	1	2	4	4	4	3	2	25	97	97	97	4	2	1	4	2	5	2	1	97	3	7	97	97	4	2	8	1	56	2	1966	97	5	1	2	97	9997	997	3	97	97	1	97	98	604010825	CA	Alameda County, California	0825	1	0	5	2	2
671.836834069097	1	97	1	1	7	98	97	97	97	97	7	2	2	2	3	1975	97	32	1	4	1	2	1	2	1	2	1	2	2	Skip / NA	1	Skip / NA	17	THE GLOBAL IMAGE OF THE U.S.A.	2	2	97	1	1	2	97	97	97	97	3	97	1	2	2	97	97	97	97	97	3	1	1	1	2	2	2	2	1	2	2	2	2	1	2	1	2	3	97	97	3	4	5	4	4	4	5	4	4	1	1	2	Skip / NA	97	1	97	97	97	2	97	2	97	6	97	97	97	97	98	97	2	97	2	2	2	2	2	2	97	97	97	97	97	2	1	1	1	98	2	1	2	3	4	2	97	97	97	97	97	2	97	97	5	2	5	2	97	97	97	97	2	0	99	1	45	2	1950	97	99	2	3	97	1982	997	97	97	97	1	97	98	604020825	CA	Alameda County, California	0825	1	1	5	2	2
671.836834069097	1	97	1	1	7	33	97	97	97	97	7	2	2	2	3	1985	97	90	2	2	1	2	2	97	1	2	1	2	98	Skip / NA	97	Skip / NA	97	Skip / NA	98	1	2	97	3	1	97	97	3	97	97	97	1	2	2	2	97	97	97	97	1	1	2	2	2	1	2	2	1	2	2	1	2	1	2	97	97	1	2	97	4	5	4	5	1	5	5	5	3	5	98	3	Skip / NA	97	97	98	97	97	1	1	97	97	3	97	97	97	97	2	97	2	97	2	2	2	2	2	2	97	97	97	97	97	2	1	1	98	2	98	98	2	97	97	12	97	97	97	4	99	99	97	97	6	2	1	97	7	97	97	97	4	2	8	1	40	2	1959	97	9	1	3	97	9998	998	97	97	97	1	97	99	604030825	CA	Contra Costa County, California	0825	1	1	5	2	2
290.902922563689	1	97	1	1	7	0	97	97	97	97	7	1	1	1	97	97	97	97	97	4	1	2	2	97	1	2	1	2	11	Skip / NA	0	Skip / NA	97	Skip / NA	11	1	3	97	1	1	97	97	97	97	3	97	2	97	97	1	1	1	1	97	1	1	2	2	2	1	2	2	2	2	2	2	2	1	97	1	1	3	97	97	4	1	5	5	5	4	4	5	4	2	97	3	Skip / NA	97	97	98	3	3	2	97	2	97	3	97	97	97	97	2	97	2	97	1	97	97	97	97	97	2	2	2	2	2	1	1	1	1	1	2	2	2	97	97	12	97	97	97	3	2	2	97	97	5	1	1	97	7	97	97	97	3	1	3	1	60	2	1975	97	3	1	3	97	9997	997	97	97	97	1	97	1	604040826	NJ	Morris County, New Jersey	0826	1	1	5	2	3
626.699134557856	1	97	1	1	7	0	97	97	97	97	7	2	2	2	3	1988	97	36	1	3	1	2	1	2	1	2	1	2	2	Skip / NA	1	Skip / NA	3	Skip / NA	2	2	97	2	97	97	97	98	97	97	3	97	2	97	97	97	97	97	99	97	1	1	2	2	2	1	2	2	2	2	2	1	2	1	2	1	98	1	2	97	5	5	5	3	2	3	4	2	1	2	97	5	Skip / NA	97	97	97	97	97	4	97	97	98	98	97	97	97	97	2	97	2	97	2	2	2	2	2	2	97	97	97	97	97	2	2	1	1	2	98	98	98	97	97	99	97	97	97	97	97	2	97	97	6	2	99	99	97	97	97	97	99	99	99	1	40	2	9999	99	99	99	99	97	9997	997	99	97	97	99	97	98	604050826	NJ	Somerset County, New Jersey	0826	1	0	5	2	3
735.374610007722	1	97	1	2	2	7	97	97	97	97	7	2	2	2	3	1971	97	36	3	1	2	97	2	97	1	2	2	97	98	Skip / NA	97	Skip / NA	97	Skip / NA	98	2	97	2	97	97	97	99	97	97	98	97	2	97	97	97	97	97	98	97	3	2	2	2	2	1	2	2	2	2	2	1	2	1	2	97	97	3	97	97	3	98	5	98	4	98	5	98	98	98	97	5	Skip / NA	97	97	97	97	97	4	97	97	2	3	97	97	97	97	98	97	98	97	2	2	2	2	2	2	97	97	97	97	97	2	98	1	98	98	98	98	98	97	97	31	97	97	97	5	2	2	97	97	10	2	1	97	7	97	97	97	3	0	99	2	5	2	1945	97	20	1	2	97	9997	997	98	97	97	1	97	1	604060826	NJ	Mercer County, New Jersey	0826	1	0	5	2	3
10211.7445401802	1	97	1	2	7	0	97	97	97	97	7	2	2	2	3	1992	97	90	2	2	2	97	2	97	1	2	1	2	2	Skip / NA	7	Skip / NA	0	Skip / NA	2	3	97	3	97	97	97	1	97	1	97	97	3	97	97	97	97	97	97	97	1	1	2	2	1	1	2	2	2	2	2	1	2	1	2	1	1	3	97	97	3	4	2	4	1	2	5	4	4	1	97	1	Skip / NA	2	97	97	97	97	1	2	97	97	4	97	97	97	97	2	97	1	98	2	2	2	2	2	2	97	97	97	97	97	2	1	1	1	2	3	3	3	98	97	12	97	97	97	5	2	2	97	97	6	2	5	2	97	97	97	97	1	97	99	1	40	2	1968	97	99	1	2	97	9997	997	2	97	97	2	97	99	604070826	CT	PROTECTED	0826	1	0	9	9	1
341.348202724589	1	97	1	2	2	0	97	97	97	97	7	2	2	1	97	97	97	97	97	4	1	2	1	2	2	97	1	2	6	Skip / NA	5	Skip / NA	2	Skip / NA	6	1	1	97	1	2	97	97	97	97	3	97	1	2	1	3	97	1	98	97	3	1	2	1	1	2	1	2	2	1	2	2	2	1	97	1	2	2	97	2	5	5	5	4	5	2	2	1	4	2	97	2	Skip / NA	97	1	97	1	1	1	1	97	97	3	97	97	97	97	2	97	2	97	2	97	97	97	97	97	2	2	2	2	1	1	2	1	2	2	3	3	1	97	97	12	97	97	97	4	2	1	4	1	10	1	5	1	5	97	97	97	2	0	4	8	997	2	1982	97	1	2	3	97	9997	997	97	97	97	2	97	2	604080826	NJ	Hudson County, New Jersey	0826	1	1	5	2	2
